OriginalId;NewId;Category
10033;AdditionBlocked;Addition
43084;AdditionElectricalPower;Addition
47212;AdditionElectricalPowerMaximumSet;Addition
47214;AdditionFuseSize;Addition
43081;AdditionTimeFactor;Addition
47411;AUX1;AUX
47410;AUX2;AUX
47409;AUX3;AUX
47408;AUX4;AUX
47407;AUX5;AUX
47412;X7;AUX
40015;BrineInTemperature;BrineCircuit
40016;BrineOutTemperature;BrineCircuit
43439;BrinePumpSpeed;BrineCircuit
10012;CompressorBlocked;Compressor
43420;CompressorOperatingTime;Compressor
43424;CompressorOperatingTimeHotWater;Compressor
43416;CompressorStarts;Compressor
40017;CondenserOutTemperature;Compressor
40018;HotGas;Compressor
40019;LiquidLineTemperature;Compressor
40022;SuctionGasTemperature;Compressor
43009;CalculatedSupplyTemperature;HeaterCircuit
40071;ExternalSupplyLineTemperature;HeaterCircuit
43437;HeatingPumpSpeed;HeaterCircuit
40012;ReturnLineTemperature;HeaterCircuit
40008;SupplyLineTemperature;HeaterCircuit
40072;Flow;HeatMeter
44308;HeatingEnergyCompressorOnly;HeatMeter
44300;HeatingEnergyInclusiveInternalAddition;HeatMeter
44306;HotWaterEnergyCompressorOnly;HeatMeter
44298;HotWaterEnergyInclusiveInternalAddition;HeatMeter
44304;Pool1CompressorOnlyEnergy;HeatMeter
40771;Pool2CompressorOnlyEnergy;HeatMeter
40014;HotWaterChargingTemperature;HotWater
40013;HotWaterTopTemperature;HotWater
40083;CurrentBE1;System
40081;CurrentBE2;System
40079;CurrentBE3;System
43005;DegreeMinutes;System
43161;ExternalAdjustment;System
47276;FloorDryingFunctionState;System
40067;OutdoorTemperatureAverage;System
40004;OutdoorTemperatureCurrent;System
40033;RoomTemperature;System